budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_final_tool_stability,77,77,1.0
1,dpa_final_tool_stability,77,77,1.0
3,dpa_final_tool_stability,77,77,1.0
5,dpa_final_tool_stability,77,77,1.0
7,dpa_final_tool_stability,77,77,1.0
9,dpa_final_tool_stability,77,77,1.0
25,dpa_final_tool_stability,77,75,0.974025974025974
50,dpa_final_tool_stability,77,73,0.948051948051948
100,dpa_final_tool_stability,77,68,0.8831168831168831
150,dpa_final_tool_stability,77,68,0.8831168831168831
200,dpa_final_tool_stability,77,64,0.8311688311688312
249,dpa_final_tool_stability,77,54,0.7012987012987013
