budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_max_target_token_validity_diagnostic,77,77,1.0
1,dpa_max_target_token_validity_diagnostic,77,77,1.0
2,dpa_max_target_token_validity_diagnostic,77,77,1.0
3,dpa_max_target_token_validity_diagnostic,77,77,1.0
4,dpa_max_target_token_validity_diagnostic,77,77,1.0
5,dpa_max_target_token_validity_diagnostic,77,77,1.0
7,dpa_max_target_token_validity_diagnostic,77,77,1.0
9,dpa_max_target_token_validity_diagnostic,77,77,1.0
12,dpa_max_target_token_validity_diagnostic,77,77,1.0
15,dpa_max_target_token_validity_diagnostic,77,77,1.0
20,dpa_max_target_token_validity_diagnostic,77,77,1.0
25,dpa_max_target_token_validity_diagnostic,77,76,0.987012987012987
35,dpa_max_target_token_validity_diagnostic,77,76,0.987012987012987
50,dpa_max_target_token_validity_diagnostic,77,75,0.974025974025974
75,dpa_max_target_token_validity_diagnostic,77,71,0.922077922077922
100,dpa_max_target_token_validity_diagnostic,77,70,0.9090909090909091
125,dpa_max_target_token_validity_diagnostic,77,69,0.8961038961038961
150,dpa_max_target_token_validity_diagnostic,77,68,0.8831168831168831
175,dpa_max_target_token_validity_diagnostic,77,67,0.8701298701298701
200,dpa_max_target_token_validity_diagnostic,77,65,0.8441558441558441
225,dpa_max_target_token_validity_diagnostic,77,62,0.8051948051948052
249,dpa_max_target_token_validity_diagnostic,77,54,0.7012987012987013
