budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
0,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
0,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
0,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.03795711298880633,1,2
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.07081319400458597,1,2
1,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
1,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
1,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
1,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.2980127960036043,1,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.37623896400327794,1,2
2,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
2,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
2,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
2,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,76,0.987012987012987,,,,,,,,,,,,,,
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.3510453029884957,1,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.35851480400015134,1,2
3,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
3,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
3,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
3,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,76,0.987012987012987,,,,,,,,,,,,,,
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.1192950879922137,1,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.39343549800105393,1,2
4,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
4,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
4,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
4,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,75,0.974025974025974,,,,,,,,,,,,,,
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.1963762310042512,1,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40241455199429765,1,2
5,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
5,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
5,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
5,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,75,0.974025974025974,,,,,,,,,,,,,,
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.2094355580047704,1,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3999120169901289,1,2
7,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
7,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
7,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
7,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,75,0.974025974025974,,,,,,,,,,,,,,
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.2609449610026786,1,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40686087899666745,1,2
9,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
9,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
9,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
9,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,74,0.961038961038961,,,,,,,,,,,,,,
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,3,74,0.961038961038961,gurobi,OPTIMAL,3.0,3.0,0.0,1.336196842006757,1,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.39852363099635113,1,2
12,aggregate_tpa_final_tool_validity,radius_derived,77,77,1.0,,,,,,,,,,,,,,
12,dpa_final_tool_stability,radius_derived,77,77,1.0,,,,,,,,,,,,,,
12,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
12,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,73,0.948051948051948,,,,,,,,,,,,,,
12,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,4,73,0.948051948051948,gurobi,OPTIMAL,4.0,4.0,0.0,1.435450144999777,1,2
12,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.39742770900193136,1,2
15,aggregate_tpa_final_tool_validity,radius_derived,77,76,0.987012987012987,,,,,,,,,,,,,,
15,dpa_final_tool_stability,radius_derived,77,76,0.987012987012987,,,,,,,,,,,,,,
15,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
15,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,77,72,0.935064935064935,,,,,,,,,,,,,,
15,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500,490,5,72,0.935064935064935,gurobi,OPTIMAL,5.0,5.0,0.0,1.4501707140007056,1,2
15,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3993395449942909,1,2
20,aggregate_tpa_final_tool_validity,radius_derived,77,75,0.974025974025974,,,,,,,,,,,,,,
20,dpa_final_tool_stability,radius_derived,77,75,0.974025974025974,,,,,,,,,,,,,,
20,dpa_max_target_token_validity_diagnostic,radius_derived,77,77,1.0,,,,,,,,,,,,,,
