budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.07081319400458597,1,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.37623896400327794,1,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.35851480400015134,1,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.39343549800105393,1,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40241455199429765,1,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3999120169901289,1,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40686087899666745,1,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.39852363099635113,1,2
12,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.39742770900193136,1,2
15,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3993395449942909,1,2
20,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40652349599986337,1,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,0.4016643239883706,1,2
35,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,0.4061450729932403,1,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,0.3956656259979354,1,2
75,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,6,71,0.922077922077922,gurobi,OPTIMAL,6.0,6.0,0.0,0.4139565789955668,1,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,7,70,0.9090909090909091,gurobi,OPTIMAL,7.0,7.0,0.0,0.4485565159993712,1,2
125,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,8,69,0.8961038961038961,gurobi,OPTIMAL,8.0,8.0,0.0,0.4267326340050204,1,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,9,68,0.8831168831168831,gurobi,OPTIMAL,9.0,9.0,0.0,0.43800748500507325,1,2
175,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,10,67,0.8701298701298701,gurobi,OPTIMAL,10.0,10.0,0.0,0.4482694990001619,1,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,12,65,0.8441558441558441,gurobi,OPTIMAL,12.0,12.0,0.0,0.42624880399671383,1,2
225,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,15,62,0.8051948051948052,gurobi,OPTIMAL,15.0,15.0,0.0,0.46086540499527473,1,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,23,54,0.7012987012987013,gurobi,OPTIMAL,23.0,23.0,0.0,0.3392450719984481,1,2
