budget,method,num_prompts,certified_prompts,certified_fraction
0,aggregate_tpa_final_tool_validity,104,104,1.0
1,aggregate_tpa_final_tool_validity,104,104,1.0
2,aggregate_tpa_final_tool_validity,104,104,1.0
3,aggregate_tpa_final_tool_validity,104,104,1.0
4,aggregate_tpa_final_tool_validity,104,104,1.0
5,aggregate_tpa_final_tool_validity,104,104,1.0
7,aggregate_tpa_final_tool_validity,104,103,0.9903846153846154
9,aggregate_tpa_final_tool_validity,104,103,0.9903846153846154
12,aggregate_tpa_final_tool_validity,104,103,0.9903846153846154
15,aggregate_tpa_final_tool_validity,104,102,0.9807692307692307
20,aggregate_tpa_final_tool_validity,104,101,0.9711538461538461
25,aggregate_tpa_final_tool_validity,104,101,0.9711538461538461
35,aggregate_tpa_final_tool_validity,104,100,0.9615384615384616
50,aggregate_tpa_final_tool_validity,104,99,0.9519230769230769
75,aggregate_tpa_final_tool_validity,104,96,0.9230769230769231
100,aggregate_tpa_final_tool_validity,104,91,0.875
125,aggregate_tpa_final_tool_validity,104,90,0.8653846153846154
150,aggregate_tpa_final_tool_validity,104,88,0.8461538461538461
175,aggregate_tpa_final_tool_validity,104,86,0.8269230769230769
200,aggregate_tpa_final_tool_validity,104,82,0.7884615384615384
225,aggregate_tpa_final_tool_validity,104,80,0.7692307692307693
249,aggregate_tpa_final_tool_validity,104,66,0.6346153846153846
300,aggregate_tpa_final_tool_validity,104,66,0.6346153846153846
350,aggregate_tpa_final_tool_validity,104,66,0.6346153846153846
400,aggregate_tpa_final_tool_validity,104,66,0.6346153846153846
450,aggregate_tpa_final_tool_validity,104,66,0.6346153846153846
500,aggregate_tpa_final_tool_validity,104,66,0.6346153846153846
