budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,aggregate_tpa_final_tool_validity,radius_derived,104,104,1.0,,,,,,,,,,,,,,
0,dpa_final_tool_stability,radius_derived,104,104,1.0,,,,,,,,,,,,,,
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500,696,0,104,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05684337300772313,3,2
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500,448,0,104,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.082989993999945,3,2
1,aggregate_tpa_final_tool_validity,radius_derived,104,104,1.0,,,,,,,,,,,,,,
1,dpa_final_tool_stability,radius_derived,104,104,1.0,,,,,,,,,,,,,,
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500,696,0,104,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.42117871600203216,3,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500,448,0,104,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.43114978999074083,3,2
2,aggregate_tpa_final_tool_validity,radius_derived,104,104,1.0,,,,,,,,,,,,,,
2,dpa_final_tool_stability,radius_derived,104,104,1.0,,,,,,,,,,,,,,
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500,696,1,103,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,1.206351517001167,3,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500,448,0,104,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.8957241909956792,3,2
3,aggregate_tpa_final_tool_validity,radius_derived,104,104,1.0,,,,,,,,,,,,,,
3,dpa_final_tool_stability,radius_derived,104,104,1.0,,,,,,,,,,,,,,
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500,696,1,103,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,1.3040797590074362,3,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500,448,0,104,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.8741486010112567,3,2
4,aggregate_tpa_final_tool_validity,radius_derived,104,104,1.0,,,,,,,,,,,,,,
4,dpa_final_tool_stability,radius_derived,104,104,1.0,,,,,,,,,,,,,,
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500,696,2,102,0.9807692307692307,gurobi,OPTIMAL,2.0,2.0,0.0,1.2871536279999418,3,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500,448,0,104,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.8761767299874919,3,2
5,aggregate_tpa_final_tool_validity,radius_derived,104,104,1.0,,,,,,,,,,,,,,
5,dpa_final_tool_stability,radius_derived,104,104,1.0,,,,,,,,,,,,,,
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500,696,2,102,0.9807692307692307,gurobi,OPTIMAL,2.0,2.0,0.0,1.5924005599954398,3,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500,448,0,104,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.8798389190051239,3,2
7,aggregate_tpa_final_tool_validity,radius_derived,104,103,0.9903846153846154,,,,,,,,,,,,,,
7,dpa_final_tool_stability,radius_derived,104,103,0.9903846153846154,,,,,,,,,,,,,,
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500,696,2,102,0.9807692307692307,gurobi,OPTIMAL,2.0,2.0,0.0,2.09457790099259,3,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500,448,0,104,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.869172131002415,3,2
9,aggregate_tpa_final_tool_validity,radius_derived,104,103,0.9903846153846154,,,,,,,,,,,,,,
9,dpa_final_tool_stability,radius_derived,104,103,0.9903846153846154,,,,,,,,,,,,,,
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500,696,2,102,0.9807692307692307,gurobi,OPTIMAL,2.0,2.0,0.0,1.9254543889983324,3,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500,448,1,103,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,0.8802464180043899,3,2
12,aggregate_tpa_final_tool_validity,radius_derived,104,103,0.9903846153846154,,,,,,,,,,,,,,
