budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_final_tool_stability,77,77,1.0
1,dpa_final_tool_stability,77,77,1.0
2,dpa_final_tool_stability,77,77,1.0
3,dpa_final_tool_stability,77,77,1.0
4,dpa_final_tool_stability,77,77,1.0
5,dpa_final_tool_stability,77,77,1.0
7,dpa_final_tool_stability,77,77,1.0
9,dpa_final_tool_stability,77,77,1.0
12,dpa_final_tool_stability,77,77,1.0
15,dpa_final_tool_stability,77,76,0.987012987012987
20,dpa_final_tool_stability,77,75,0.974025974025974
25,dpa_final_tool_stability,77,75,0.974025974025974
35,dpa_final_tool_stability,77,74,0.961038961038961
50,dpa_final_tool_stability,77,73,0.948051948051948
75,dpa_final_tool_stability,77,70,0.9090909090909091
100,dpa_final_tool_stability,77,68,0.8831168831168831
125,dpa_final_tool_stability,77,68,0.8831168831168831
150,dpa_final_tool_stability,77,68,0.8831168831168831
175,dpa_final_tool_stability,77,67,0.8701298701298701
200,dpa_final_tool_stability,77,64,0.8311688311688312
225,dpa_final_tool_stability,77,62,0.8051948051948052
249,dpa_final_tool_stability,77,54,0.7012987012987013
300,dpa_final_tool_stability,77,0,0.0
350,dpa_final_tool_stability,77,0,0.0
400,dpa_final_tool_stability,77,0,0.0
450,dpa_final_tool_stability,77,0,0.0
500,dpa_final_tool_stability,77,0,0.0
