budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.07428141200216487,3,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.38334695299272425,3,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.37077988000237383,3,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40612999099539593,3,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.39362180400348734,3,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.391887763995328,3,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3835583680047421,3,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40500946300744545,3,2
12,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.398130293993745,3,2
15,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40142958400247153,3,2
20,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40178816800471395,3,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,0.39629712600435596,3,2
35,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,0.40605029099970125,3,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,0.4040425929997582,3,2
75,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,6,71,0.922077922077922,gurobi,OPTIMAL,6.0,6.0,0.0,0.41583351099689025,3,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,7,70,0.9090909090909091,gurobi,OPTIMAL,7.0,7.0,0.0,0.4339036649907939,3,2
125,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,8,69,0.8961038961038961,gurobi,OPTIMAL,8.0,8.0,0.0,0.4170075989968609,3,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,9,68,0.8831168831168831,gurobi,OPTIMAL,9.0,9.0,0.0,0.42783586400037166,3,2
175,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,10,67,0.8701298701298701,gurobi,OPTIMAL,10.0,10.0,0.0,0.43300860199087765,3,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,12,65,0.8441558441558441,gurobi,OPTIMAL,12.0,12.0,0.0,0.4235095449985238,3,2
225,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,15,62,0.8051948051948052,gurobi,OPTIMAL,15.0,15.0,0.0,0.4567486339947209,3,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,23,54,0.7012987012987013,gurobi,OPTIMAL,23.0,23.0,0.0,0.33344565400329884,3,2
