budget,method,num_prompts,certified_prompts,certified_fraction
0,aggregate_tpa_final_tool_validity,77,77,1.0
1,aggregate_tpa_final_tool_validity,77,77,1.0
2,aggregate_tpa_final_tool_validity,77,77,1.0
3,aggregate_tpa_final_tool_validity,77,77,1.0
4,aggregate_tpa_final_tool_validity,77,77,1.0
5,aggregate_tpa_final_tool_validity,77,77,1.0
7,aggregate_tpa_final_tool_validity,77,77,1.0
9,aggregate_tpa_final_tool_validity,77,77,1.0
12,aggregate_tpa_final_tool_validity,77,77,1.0
15,aggregate_tpa_final_tool_validity,77,76,0.987012987012987
20,aggregate_tpa_final_tool_validity,77,75,0.974025974025974
25,aggregate_tpa_final_tool_validity,77,75,0.974025974025974
35,aggregate_tpa_final_tool_validity,77,74,0.961038961038961
50,aggregate_tpa_final_tool_validity,77,73,0.948051948051948
75,aggregate_tpa_final_tool_validity,77,70,0.9090909090909091
100,aggregate_tpa_final_tool_validity,77,68,0.8831168831168831
125,aggregate_tpa_final_tool_validity,77,68,0.8831168831168831
150,aggregate_tpa_final_tool_validity,77,68,0.8831168831168831
175,aggregate_tpa_final_tool_validity,77,67,0.8701298701298701
200,aggregate_tpa_final_tool_validity,77,64,0.8311688311688312
225,aggregate_tpa_final_tool_validity,77,62,0.8051948051948052
249,aggregate_tpa_final_tool_validity,77,54,0.7012987012987013
