budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_token_grid_weakest_token_stability_diagnostic,77,77,1.0
1,dpa_token_grid_weakest_token_stability_diagnostic,77,77,1.0
2,dpa_token_grid_weakest_token_stability_diagnostic,77,76,0.987012987012987
3,dpa_token_grid_weakest_token_stability_diagnostic,77,76,0.987012987012987
4,dpa_token_grid_weakest_token_stability_diagnostic,77,75,0.974025974025974
5,dpa_token_grid_weakest_token_stability_diagnostic,77,75,0.974025974025974
7,dpa_token_grid_weakest_token_stability_diagnostic,77,75,0.974025974025974
9,dpa_token_grid_weakest_token_stability_diagnostic,77,74,0.961038961038961
12,dpa_token_grid_weakest_token_stability_diagnostic,77,73,0.948051948051948
15,dpa_token_grid_weakest_token_stability_diagnostic,77,72,0.935064935064935
20,dpa_token_grid_weakest_token_stability_diagnostic,77,68,0.8831168831168831
25,dpa_token_grid_weakest_token_stability_diagnostic,77,67,0.8701298701298701
35,dpa_token_grid_weakest_token_stability_diagnostic,77,65,0.8441558441558441
50,dpa_token_grid_weakest_token_stability_diagnostic,77,61,0.7922077922077922
75,dpa_token_grid_weakest_token_stability_diagnostic,77,57,0.7402597402597403
100,dpa_token_grid_weakest_token_stability_diagnostic,77,56,0.7272727272727273
125,dpa_token_grid_weakest_token_stability_diagnostic,77,54,0.7012987012987013
150,dpa_token_grid_weakest_token_stability_diagnostic,77,50,0.6493506493506493
175,dpa_token_grid_weakest_token_stability_diagnostic,77,44,0.5714285714285714
200,dpa_token_grid_weakest_token_stability_diagnostic,77,36,0.4675324675324675
225,dpa_token_grid_weakest_token_stability_diagnostic,77,25,0.3246753246753247
249,dpa_token_grid_weakest_token_stability_diagnostic,77,11,0.14285714285714285
