budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.07292781199794263,3,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3752664359926712,3,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.36285030700673815,3,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3965794569958234,3,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40288409100321587,3,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4053204569936497,3,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40247393101162743,3,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.39501065301010385,3,2
12,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.40466720500262454,3,2
15,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4057491249986924,3,2
20,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4463831220054999,3,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,0.4024483220127877,3,2
35,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,0.38578955800039694,3,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,0.40076009900076315,3,2
75,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,6,71,0.922077922077922,gurobi,OPTIMAL,6.0,6.0,0.0,0.4184608340001432,3,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,7,70,0.9090909090909091,gurobi,OPTIMAL,7.0,7.0,0.0,0.4436327680014074,3,2
125,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,8,69,0.8961038961038961,gurobi,OPTIMAL,8.0,8.0,0.0,0.42457408100017346,3,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,9,68,0.8831168831168831,gurobi,OPTIMAL,9.0,9.0,0.0,0.46659152800566517,3,2
175,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,10,67,0.8701298701298701,gurobi,OPTIMAL,10.0,10.0,0.0,0.440598750996287,3,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,12,65,0.8441558441558441,gurobi,OPTIMAL,12.0,12.0,0.0,0.4385758210119093,3,2
225,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,15,62,0.8051948051948052,gurobi,OPTIMAL,15.0,15.0,0.0,0.47299496800405905,3,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,20,500,351,23,54,0.7012987012987013,gurobi,OPTIMAL,23.0,23.0,0.0,0.34829610399901867,3,2
