budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,aggregate_tpa_mcp_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
0,dpa_max_target_token_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
0,dpa_weakest_token_stability,radius_derived,10,10,1.0,,,,,,,,,,,,,,
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,10,,,15,500,50,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0038950300004216842,1,1
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,10,,,15,500,45,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.00509688900274341,1,1
1,aggregate_tpa_mcp_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
1,dpa_max_target_token_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
1,dpa_weakest_token_stability,radius_derived,10,10,1.0,,,,,,,,,,,,,,
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,10,,,15,500,50,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0051137650007149205,1,1
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,10,,,15,500,45,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.007621236996783409,1,1
3,aggregate_tpa_mcp_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
3,dpa_max_target_token_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
3,dpa_weakest_token_stability,radius_derived,10,10,1.0,,,,,,,,,,,,,,
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,10,,,15,500,50,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0054018330010876525,1,1
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,10,,,15,500,45,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.006926362999365665,1,1
