budget,method,num_prompts,certified_prompts,certified_fraction
0,aggregate_tpa_mcp_validity,77,77,1.0
1,aggregate_tpa_mcp_validity,77,77,1.0
3,aggregate_tpa_mcp_validity,77,77,1.0
5,aggregate_tpa_mcp_validity,77,77,1.0
7,aggregate_tpa_mcp_validity,77,77,1.0
9,aggregate_tpa_mcp_validity,77,77,1.0
25,aggregate_tpa_mcp_validity,77,75,0.974025974025974
50,aggregate_tpa_mcp_validity,77,73,0.948051948051948
100,aggregate_tpa_mcp_validity,77,68,0.8831168831168831
150,aggregate_tpa_mcp_validity,77,68,0.8831168831168831
200,aggregate_tpa_mcp_validity,77,64,0.8311688311688312
249,aggregate_tpa_mcp_validity,77,54,0.7012987012987013
