budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_weakest_token_stability,77,77,1.0
1,dpa_weakest_token_stability,77,77,1.0
3,dpa_weakest_token_stability,77,76,0.987012987012987
5,dpa_weakest_token_stability,77,75,0.974025974025974
7,dpa_weakest_token_stability,77,75,0.974025974025974
9,dpa_weakest_token_stability,77,74,0.961038961038961
25,dpa_weakest_token_stability,77,67,0.8701298701298701
50,dpa_weakest_token_stability,77,61,0.7922077922077922
100,dpa_weakest_token_stability,77,56,0.7272727272727273
150,dpa_weakest_token_stability,77,50,0.6493506493506493
200,dpa_weakest_token_stability,77,36,0.4675324675324675
249,dpa_weakest_token_stability,77,11,0.14285714285714285
