budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0394268030031526,1,2
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,0,77,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.300018882000586,1,2
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,1,76,0.987012987012987,gurobi,OPTIMAL,1.0,1.0,0.0,1.1339543300018704,1,2
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.2560057119990233,1,2
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,2,75,0.974025974025974,gurobi,OPTIMAL,2.0,2.0,0.0,1.2941732789986418,1,2
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,3,74,0.961038961038961,gurobi,OPTIMAL,3.0,3.0,0.0,1.3174331299996993,1,2
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,10,67,0.8701298701298701,gurobi,OPTIMAL,10.0,10.0,0.0,1.498801800000365,1,2
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,16,61,0.7922077922077922,gurobi,OPTIMAL,16.0,16.0,0.0,1.4381909350013302,1,2
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,21,56,0.7272727272727273,gurobi,OPTIMAL,21.0,21.0,0.0,1.3771180209987506,1,2
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,27,50,0.6493506493506493,gurobi,OPTIMAL,27.0,27.0,0.0,1.7614254369982518,1,2
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,41,36,0.4675324675324675,gurobi,OPTIMAL,41.0,41.0,0.0,1.4821326550008962,1,2
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,20,500,490,66,11,0.14285714285714285,gurobi,OPTIMAL,66.0,66.0,0.0,0.7153921909994096,1,2
