budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.02766321699891705,1,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.06222158899981878,1,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05874089699864271,1,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0524562499995227,1,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05588294200060773,1,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05365008800072246,1,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05375961100071436,1,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.053688746000261744,1,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05490161100169644,1,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.05931724499896518,1,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,0,23,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.060631993001152296,1,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,23,30,500,119,4,19,0.8260869565217391,gurobi,OPTIMAL,4.0,4.0,0.0,0.06628040299983695,1,2
