budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.010652539000147954,3,2
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.021165730999200605,3,2
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.020880816999124363,3,2
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.02225957800692413,3,2
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.02204547000292223,3,2
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.02202007098821923,3,2
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0226263140066294,3,2
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.02232629799982533,3,2
12,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.021789939011796378,3,2
15,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.021886773989535868,3,2
20,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.021337655998650007,3,2
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.021587768991594203,3,2
35,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.021405317005701363,3,2
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.021130187989911065,3,2
75,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.10888947801140603,3,2
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.11364190799940843,3,2
125,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.11946007500228006,3,2
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.10757634400215466,3,2
175,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.09529277800174896,3,2
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.07269080099649727,3,2
225,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.07242104898614343,3,2
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.05898798300768249,3,2
300,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.058999640998081304,3,2
350,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.059251996004604734,3,2
400,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.05943954500253312,3,2
450,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.049855856006615795,3,2
500,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.002527210002881475,3,2
