budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.010127857996849343,3,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.010566500990535133,3,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.010647881994373165,3,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012450353999156505,3,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012606365999090485,3,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012735577998682857,3,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012419877995853312,3,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012541899995994754,3,2
12,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012560978007968515,3,2
15,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012494669994339347,3,2
20,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012705583998467773,3,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012591473991051316,3,2
35,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012371286997222342,3,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012663752000662498,3,2
75,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.011697153007844463,3,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.010506252001505345,3,2
125,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.01128563100064639,3,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.010395335993962362,3,2
175,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.010503917990718037,3,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.011448643999756314,3,2
225,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.011271759998635389,3,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.015210520999971777,3,2
300,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.015459161004400812,3,2
350,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.014362739006173797,3,2
400,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.010749063003459014,3,2
450,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.010493252004380338,3,2
500,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.0033060290006687865,3,2
