budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,aggregate_tpa_final_tool_validity,radius_derived,3,3,1.0,,,,,,,,,,,,,,
0,dpa_final_tool_stability,radius_derived,3,3,1.0,,,,,,,,,,,,,,
0,dpa_max_target_token_validity_diagnostic,radius_derived,3,3,1.0,,,,,,,,,,,,,,
0,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,3,3,1.0,,,,,,,,,,,,,,
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.010945721005555242,3,2
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.01008898600412067,3,2
1,aggregate_tpa_final_tool_validity,radius_derived,3,3,1.0,,,,,,,,,,,,,,
1,dpa_final_tool_stability,radius_derived,3,3,1.0,,,,,,,,,,,,,,
1,dpa_max_target_token_validity_diagnostic,radius_derived,3,3,1.0,,,,,,,,,,,,,,
1,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,3,3,1.0,,,,,,,,,,,,,,
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,,,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.02164938100031577,3,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,,,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012208109998027794,3,2
2,aggregate_tpa_final_tool_validity,radius_derived,3,3,1.0,,,,,,,,,,,,,,
2,dpa_final_tool_stability,radius_derived,3,3,1.0,,,,,,,,,,,,,,
2,dpa_max_target_token_validity_diagnostic,radius_derived,3,3,1.0,,,,,,,,,,,,,,
2,dpa_token_grid_weakest_token_stability_diagnostic,radius_derived,3,3,1.0,,,,,,,,,,,,,,
