budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_max_target_token_validity_diagnostic,3,3,1.0
1,dpa_max_target_token_validity_diagnostic,3,3,1.0
2,dpa_max_target_token_validity_diagnostic,3,3,1.0
3,dpa_max_target_token_validity_diagnostic,3,3,1.0
4,dpa_max_target_token_validity_diagnostic,3,3,1.0
5,dpa_max_target_token_validity_diagnostic,3,3,1.0
7,dpa_max_target_token_validity_diagnostic,3,3,1.0
9,dpa_max_target_token_validity_diagnostic,3,3,1.0
12,dpa_max_target_token_validity_diagnostic,3,3,1.0
15,dpa_max_target_token_validity_diagnostic,3,3,1.0
20,dpa_max_target_token_validity_diagnostic,3,3,1.0
25,dpa_max_target_token_validity_diagnostic,3,3,1.0
35,dpa_max_target_token_validity_diagnostic,3,3,1.0
50,dpa_max_target_token_validity_diagnostic,3,3,1.0
75,dpa_max_target_token_validity_diagnostic,3,3,1.0
100,dpa_max_target_token_validity_diagnostic,3,3,1.0
125,dpa_max_target_token_validity_diagnostic,3,2,0.6666666666666666
150,dpa_max_target_token_validity_diagnostic,3,2,0.6666666666666666
175,dpa_max_target_token_validity_diagnostic,3,2,0.6666666666666666
200,dpa_max_target_token_validity_diagnostic,3,1,0.3333333333333333
225,dpa_max_target_token_validity_diagnostic,3,1,0.3333333333333333
249,dpa_max_target_token_validity_diagnostic,3,0,0.0
