budget,method,num_prompts,certified_prompts,certified_fraction
0,dpa_token_grid_weakest_token_stability_diagnostic,3,3,1.0
1,dpa_token_grid_weakest_token_stability_diagnostic,3,3,1.0
2,dpa_token_grid_weakest_token_stability_diagnostic,3,3,1.0
3,dpa_token_grid_weakest_token_stability_diagnostic,3,3,1.0
4,dpa_token_grid_weakest_token_stability_diagnostic,3,3,1.0
5,dpa_token_grid_weakest_token_stability_diagnostic,3,3,1.0
7,dpa_token_grid_weakest_token_stability_diagnostic,3,3,1.0
9,dpa_token_grid_weakest_token_stability_diagnostic,3,3,1.0
12,dpa_token_grid_weakest_token_stability_diagnostic,3,2,0.6666666666666666
15,dpa_token_grid_weakest_token_stability_diagnostic,3,2,0.6666666666666666
20,dpa_token_grid_weakest_token_stability_diagnostic,3,2,0.6666666666666666
25,dpa_token_grid_weakest_token_stability_diagnostic,3,2,0.6666666666666666
35,dpa_token_grid_weakest_token_stability_diagnostic,3,2,0.6666666666666666
50,dpa_token_grid_weakest_token_stability_diagnostic,3,2,0.6666666666666666
75,dpa_token_grid_weakest_token_stability_diagnostic,3,2,0.6666666666666666
100,dpa_token_grid_weakest_token_stability_diagnostic,3,2,0.6666666666666666
125,dpa_token_grid_weakest_token_stability_diagnostic,3,1,0.3333333333333333
150,dpa_token_grid_weakest_token_stability_diagnostic,3,1,0.3333333333333333
175,dpa_token_grid_weakest_token_stability_diagnostic,3,1,0.3333333333333333
200,dpa_token_grid_weakest_token_stability_diagnostic,3,0,0.0
225,dpa_token_grid_weakest_token_stability_diagnostic,3,0,0.0
249,dpa_token_grid_weakest_token_stability_diagnostic,3,0,0.0
