budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.010945721005555242,3,2
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.02164938100031577,3,2
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.020706128008896485,3,2
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.02223694599524606,3,2
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.022050148007110693,3,2
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.021889269002713263,3,2
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.021956169002805836,3,2
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.021756791989901103,3,2
12,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.021309675998054445,3,2
15,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.022025170997949317,3,2
20,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.02172864999738522,3,2
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.021679958008462563,3,2
35,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.01985112599504646,3,2
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.021635190991219133,3,2
75,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.11343860600027256,3,2
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.1095108900044579,3,2
125,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.11964567299582995,3,2
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.11425084400980268,3,2
175,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.09666217700578272,3,2
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.07313016199623235,3,2
225,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.07319680199725553,3,2
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,3,20,500,127,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.05950791800569277,3,2
