budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.01008898600412067,3,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012208109998027794,3,2
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012152046998380683,3,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012497390009230003,3,2
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012201349003589712,3,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012594115003594197,3,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012572833002195694,3,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.014828138999291696,3,2
12,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012479894008720294,3,2
15,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012321428002906032,3,2
20,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.01242110699240584,3,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012499413001933135,3,2
35,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.010101253996253945,3,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.012575286003993824,3,2
75,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.011834314005682245,3,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,0,3,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.011459075001766905,3,2
125,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.011294469994027168,3,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.011096254995209165,3,2
175,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,1,2,0.6666666666666666,gurobi,OPTIMAL,1.0,1.0,0.0,0.012413935997756198,3,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.011539474988239817,3,2
225,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,2,1,0.3333333333333333,gurobi,OPTIMAL,2.0,2.0,0.0,0.011312286005704664,3,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,3,20,500,27,3,0,0.0,gurobi,OPTIMAL,3.0,3.0,0.0,0.015326830995036289,3,2
