budget,method,num_prompts,certified_prompts,certified_fraction
0,aggregate_tpa_mcp_validity,4,4,1.0
1,aggregate_tpa_mcp_validity,4,4,1.0
3,aggregate_tpa_mcp_validity,4,4,1.0
5,aggregate_tpa_mcp_validity,4,4,1.0
7,aggregate_tpa_mcp_validity,4,4,1.0
9,aggregate_tpa_mcp_validity,4,4,1.0
25,aggregate_tpa_mcp_validity,4,3,0.75
50,aggregate_tpa_mcp_validity,4,3,0.75
100,aggregate_tpa_mcp_validity,4,3,0.75
150,aggregate_tpa_mcp_validity,4,2,0.5
200,aggregate_tpa_mcp_validity,4,1,0.25
249,aggregate_tpa_mcp_validity,4,0,0.0
