budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,aggregate_tpa_mcp_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
0,dpa_max_target_token_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
0,dpa_weakest_token_stability,radius_derived,4,4,1.0,,,,,,,,,,,,,,
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.003832938993582502,1,2
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.009028233995195478,1,2
1,aggregate_tpa_mcp_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
1,dpa_max_target_token_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
1,dpa_weakest_token_stability,radius_derived,4,4,1.0,,,,,,,,,,,,,,
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.00526356601039879,1,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0096108600118896,1,2
3,aggregate_tpa_mcp_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
3,dpa_max_target_token_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
3,dpa_weakest_token_stability,radius_derived,4,4,1.0,,,,,,,,,,,,,,
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005276165000395849,1,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008199412011890672,1,2
5,aggregate_tpa_mcp_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
5,dpa_max_target_token_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
5,dpa_weakest_token_stability,radius_derived,4,4,1.0,,,,,,,,,,,,,,
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005278498007101007,1,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008266281001851894,1,2
7,aggregate_tpa_mcp_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
7,dpa_max_target_token_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
7,dpa_weakest_token_stability,radius_derived,4,4,1.0,,,,,,,,,,,,,,
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005222886000410654,1,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008271819009678438,1,2
9,aggregate_tpa_mcp_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
9,dpa_max_target_token_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
9,dpa_weakest_token_stability,radius_derived,4,4,1.0,,,,,,,,,,,,,,
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005284136990667321,1,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008151539994287305,1,2
25,aggregate_tpa_mcp_validity,radius_derived,4,3,0.75,,,,,,,,,,,,,,
25,dpa_max_target_token_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
25,dpa_weakest_token_stability,radius_derived,4,4,1.0,,,,,,,,,,,,,,
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005359999006032012,1,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008069749004789628,1,2
50,aggregate_tpa_mcp_validity,radius_derived,4,3,0.75,,,,,,,,,,,,,,
50,dpa_max_target_token_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
50,dpa_weakest_token_stability,radius_derived,4,4,1.0,,,,,,,,,,,,,,
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005373859996325336,1,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.00837863799824845,1,2
100,aggregate_tpa_mcp_validity,radius_derived,4,3,0.75,,,,,,,,,,,,,,
100,dpa_max_target_token_validity,radius_derived,4,4,1.0,,,,,,,,,,,,,,
100,dpa_weakest_token_stability,radius_derived,4,4,1.0,,,,,,,,,,,,,,
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005350225008442067,1,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008366039008251391,1,2
150,aggregate_tpa_mcp_validity,radius_derived,4,2,0.5,,,,,,,,,,,,,,
150,dpa_max_target_token_validity,radius_derived,4,3,0.75,,,,,,,,,,,,,,
150,dpa_weakest_token_stability,radius_derived,4,3,0.75,,,,,,,,,,,,,,
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,1,3,0.75,gurobi,OPTIMAL,1.0,1.0,0.0,0.005420550005510449,1,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,1,3,0.75,gurobi,OPTIMAL,1.0,1.0,0.0,0.008217067006626166,1,2
200,aggregate_tpa_mcp_validity,radius_derived,4,1,0.25,,,,,,,,,,,,,,
200,dpa_max_target_token_validity,radius_derived,4,2,0.5,,,,,,,,,,,,,,
200,dpa_weakest_token_stability,radius_derived,4,2,0.5,,,,,,,,,,,,,,
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,2,2,0.5,gurobi,OPTIMAL,2.0,2.0,0.0,0.010890413002925925,1,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,2,2,0.5,gurobi,OPTIMAL,2.0,2.0,0.0,0.008304527989821509,1,2
249,aggregate_tpa_mcp_validity,radius_derived,4,0,0.0,,,,,,,,,,,,,,
249,dpa_max_target_token_validity,radius_derived,4,0,0.0,,,,,,,,,,,,,,
249,dpa_weakest_token_stability,radius_derived,4,0,0.0,,,,,,,,,,,,,,
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,,,15,500,44,4,0,0.0,gurobi,OPTIMAL,4.0,4.0,0.0,0.011685705001582392,1,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,,,15,500,24,3,1,0.25,gurobi,OPTIMAL,3.0,3.0,0.0,0.011839312996016815,1,2
