budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.003832938993582502,1,2
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.00526356601039879,1,2
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005276165000395849,1,2
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005278498007101007,1,2
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005222886000410654,1,2
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005284136990667321,1,2
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005359999006032012,1,2
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005373859996325336,1,2
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.005350225008442067,1,2
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,1,3,0.75,gurobi,OPTIMAL,1.0,1.0,0.0,0.005420550005510449,1,2
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,2,2,0.5,gurobi,OPTIMAL,2.0,2.0,0.0,0.010890413002925925,1,2
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,4,15,500,44,4,0,0.0,gurobi,OPTIMAL,4.0,4.0,0.0,0.011685705001582392,1,2
