budget,method,objective_mode,num_prompts,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.009028233995195478,1,2
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0096108600118896,1,2
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008199412011890672,1,2
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008266281001851894,1,2
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008271819009678438,1,2
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008151539994287305,1,2
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008069749004789628,1,2
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.00837863799824845,1,2
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,0,4,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.008366039008251391,1,2
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,1,3,0.75,gurobi,OPTIMAL,1.0,1.0,0.0,0.008217067006626166,1,2
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,2,2,0.5,gurobi,OPTIMAL,2.0,2.0,0.0,0.008304527989821509,1,2
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,4,15,500,24,3,1,0.25,gurobi,OPTIMAL,3.0,3.0,0.0,0.011839312996016815,1,2
