budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
0,aggregate_tpa_final_tool_validity,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
0,dpa_final_tool_stability,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0575657549925381,3.0,2.0,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0847662979940651,3.0,2.0,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
1,aggregate_tpa_final_tool_validity,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
1,dpa_final_tool_stability,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4483106820116518,3.0,2.0,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4691022649931256,3.0,2.0,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
2,aggregate_tpa_final_tool_validity,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
2,dpa_final_tool_stability,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,1.0,103.0,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,1.219300145006855,3.0,2.0,0.9903846153846154,99.03846153846155,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.9340196520061,3.0,2.0,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
3,aggregate_tpa_final_tool_validity,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA final-tool validity
3,dpa_final_tool_stability,radius_derived,104,104.0,1.0,15,,,,,,,,,,,,,,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA final-tool stability
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,1.0,103.0,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,1.2986595559923444,3.0,2.0,0.9903846153846154,99.03846153846155,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.9047698890062748,3.0,2.0,1.0,100.0,1B full H=15 top3,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
