budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0575657549925381,3.0,2.0,1.0,100.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0847662979940651,3.0,2.0,1.0,100.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4483106820116518,3.0,2.0,1.0,100.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.4691022649931256,3.0,2.0,1.0,100.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
2,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,1.0,103.0,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,1.219300145006855,3.0,2.0,0.9903846153846154,99.03846153846155,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
2,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.9340196520061,3.0,2.0,1.0,100.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,1.0,103.0,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,1.2986595559923444,3.0,2.0,0.9903846153846154,99.03846153846155,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.9047698890062748,3.0,2.0,1.0,100.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
4,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,2.0,102.0,0.9807692307692308,gurobi,OPTIMAL,2.0,2.0,0.0,1.3109491960058222,3.0,2.0,0.9807692307692308,98.07692307692308,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
4,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.9090740750107216,3.0,2.0,1.0,100.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,2.0,102.0,0.9807692307692308,gurobi,OPTIMAL,2.0,2.0,0.0,1.6224106539884815,3.0,2.0,0.9807692307692308,98.07692307692308,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.8891009889921406,3.0,2.0,1.0,100.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,2.0,102.0,0.9807692307692308,gurobi,OPTIMAL,2.0,2.0,0.0,2.152181241996004,3.0,2.0,0.9807692307692308,98.07692307692308,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,0.0,104.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.9296512190048816,3.0,2.0,1.0,100.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,2.0,102.0,0.9807692307692308,gurobi,OPTIMAL,2.0,2.0,0.0,2.0991012820013566,3.0,2.0,0.9807692307692308,98.07692307692308,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,1.0,103.0,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,0.9305562260124134,3.0,2.0,0.9903846153846154,99.03846153846155,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
12,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,3.0,101.0,0.971153846153846,gurobi,OPTIMAL,3.0,3.0,0.0,1.9656770459987456,3.0,2.0,0.971153846153846,97.1153846153846,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
12,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,1.0,103.0,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,0.914270998997381,3.0,2.0,0.9903846153846154,99.03846153846155,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
15,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,4.0,100.0,0.9615384615384616,gurobi,OPTIMAL,4.0,4.0,0.0,1.945406938000815,3.0,2.0,0.9615384615384616,96.15384615384616,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
15,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,1.0,103.0,0.9903846153846154,gurobi,OPTIMAL,1.0,1.0,0.0,0.9279239780007628,3.0,2.0,0.9903846153846154,99.03846153846155,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
20,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,7.0,97.0,0.9326923076923076,gurobi,OPTIMAL,7.0,7.0,0.0,1.7576170999964231,3.0,2.0,0.9326923076923076,93.26923076923076,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
20,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,2.0,102.0,0.9807692307692308,gurobi,OPTIMAL,2.0,2.0,0.0,0.9166863940045004,3.0,2.0,0.9807692307692308,98.07692307692308,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
