budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt
0,aggregate_tpa_mcp_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
0,dpa_max_target_token_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
0,dpa_weakest_token_stability,radius_derived,10,10,1.0,,,,,,,,,,,,,,
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,10,,,10,500,32,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.003665566000563558,1,1
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,10,,,10,500,31,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0029271469975356013,1,1
1,aggregate_tpa_mcp_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
1,dpa_max_target_token_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
1,dpa_weakest_token_stability,radius_derived,10,10,1.0,,,,,,,,,,,,,,
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,10,,,10,500,32,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.004460160002054181,1,1
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,10,,,10,500,31,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.006746442999428837,1,1
3,aggregate_tpa_mcp_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
3,dpa_max_target_token_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
3,dpa_weakest_token_stability,radius_derived,10,10,1.0,,,,,,,,,,,,,,
3,joint_row_column_stability_milp,fixed_budget_adversarial_success,10,,,10,500,32,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.003972943999542622,1,1
3,joint_row_column_validity_milp,fixed_budget_adversarial_success,10,,,10,500,31,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.00438074100020458,1,1
5,aggregate_tpa_mcp_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
5,dpa_max_target_token_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
5,dpa_weakest_token_stability,radius_derived,10,10,1.0,,,,,,,,,,,,,,
5,joint_row_column_stability_milp,fixed_budget_adversarial_success,10,,,10,500,32,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.00390949000211549,1,1
5,joint_row_column_validity_milp,fixed_budget_adversarial_success,10,,,10,500,31,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.004488422000576975,1,1
7,aggregate_tpa_mcp_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
7,dpa_max_target_token_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
7,dpa_weakest_token_stability,radius_derived,10,10,1.0,,,,,,,,,,,,,,
7,joint_row_column_stability_milp,fixed_budget_adversarial_success,10,,,10,500,32,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0038894299977982882,1,1
7,joint_row_column_validity_milp,fixed_budget_adversarial_success,10,,,10,500,31,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.004467530001420528,1,1
9,aggregate_tpa_mcp_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
9,dpa_max_target_token_validity,radius_derived,10,10,1.0,,,,,,,,,,,,,,
9,dpa_weakest_token_stability,radius_derived,10,10,1.0,,,,,,,,,,,,,,
9,joint_row_column_stability_milp,fixed_budget_adversarial_success,10,,,10,500,32,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0038911219999135938,1,1
9,joint_row_column_validity_milp,fixed_budget_adversarial_success,10,,,10,500,31,0,10,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.004477725000469945,1,1
