prompt_index,original_row_index,position,clean_token_id,clean_votes,runner_up_token_id,runner_up_votes,num_unique_tokens,dpa_stability_radius
0,0,0,5324,500,,0,1,249
0,0,1,609,500,,0,1,249
0,0,2,794,500,,0,1,249
0,0,3,330,500,,0,1,249
0,0,4,36771,417,11789,83,2,166
0,0,5,498,329,27396,88,3,120
0,0,6,330,329,23304,88,3,120
0,0,7,16774,329,85981,88,3,120
0,0,8,794,329,498,88,3,120
0,0,9,5324,329,330,88,3,120
0,0,10,1178,329,16774,88,3,120
0,0,11,794,417,330,83,2,166
0,0,12,330,329,5324,88,3,120
0,0,13,10589,329,1178,88,3,120
0,0,14,48074,329,794,88,3,120
0,0,15,1506,329,330,88,3,120
0,0,16,498,289,10589,88,4,100
0,0,17,330,372,48074,88,3,141
0,0,18,11789,289,1506,88,4,100
0,0,19,794,289,48074,83,5,102
1,1,0,5324,500,,0,1,249
1,1,1,609,500,,0,1,249
1,1,2,794,500,,0,1,249
1,1,3,330,500,,0,1,249
1,1,4,2235,447,884,53,2,196
1,1,5,300,447,12636,53,2,196
1,1,6,12,447,498,53,2,196
1,1,7,479,447,330,53,2,196
1,1,8,2852,447,16774,53,2,196
1,1,9,27396,447,794,53,2,196
1,1,10,11733,447,4482,27,3,209
1,1,11,15138,447,82,53,2,196
1,1,12,498,447,788,53,2,196
1,1,13,330,447,8437,27,3,209
1,1,14,16774,447,579,27,3,209
1,1,15,794,473,669,27,2,222
1,1,16,5324,463,1982,27,3,217
1,1,17,880,446,287,27,4,209
1,1,18,64,446,498,27,4,209
1,1,19,16,446,330,53,3,196
2,2,0,5324,500,,0,1,249
2,2,1,609,500,,0,1,249
2,2,2,794,500,,0,1,249
2,2,3,330,500,,0,1,249
2,2,4,15561,500,,0,1,249
2,2,5,12,500,,0,1,249
2,2,6,60084,500,,0,1,249
2,2,7,27396,500,,0,1,249
2,2,8,23304,500,,0,1,249
2,2,9,56303,500,,0,1,249
2,2,10,12033,500,,0,1,249
2,2,11,498,500,,0,1,249
2,2,12,330,500,,0,1,249
2,2,13,16774,500,,0,1,249
2,2,14,794,500,,0,1,249
2,2,15,5324,461,4482,39,2,210
2,2,16,24649,461,2983,39,2,210
2,2,17,794,461,13,39,2,210
2,2,18,330,461,16482,39,2,210
2,2,19,2983,461,20,39,2,210
3,3,0,5324,500,,0,1,249
3,3,1,609,500,,0,1,249
3,3,2,794,500,,0,1,249
3,3,3,330,500,,0,1,249
3,3,4,36771,500,,0,1,249
3,3,5,27396,500,,0,1,249
3,3,6,23304,500,,0,1,249
3,3,7,85981,500,,0,1,249
3,3,8,498,500,,0,1,249
3,3,9,330,500,,0,1,249
3,3,10,16774,500,,0,1,249
3,3,11,794,500,,0,1,249
3,3,12,5324,447,4482,53,2,196
3,3,13,1178,421,383,52,5,184
3,3,14,794,447,35556,52,3,197
3,3,15,330,422,93546,50,5,185
3,3,16,383,422,100257,50,7,185
3,3,17,35556,422,,50,5,185
3,3,18,9388,418,,50,6,183
3,3,19,92,418,,50,8,183
4,4,0,5324,500,,0,1,249
4,4,1,609,499,16774,1,2,248
4,4,2,794,500,,0,1,249
4,4,3,330,499,4482,1,2,248
4,4,4,1030,499,2636,1,2,248
4,4,5,10979,499,498,1,2,248
4,4,6,20486,499,330,1,2,248
4,4,7,1220,499,1029,1,2,248
4,4,8,15204,499,93546,1,2,248
4,4,9,8894,499,100257,1,2,248
4,4,10,12,499,,1,2,248
4,4,11,14500,499,,1,2,248
4,4,12,28039,499,,1,2,248
4,4,13,498,499,,1,2,248
4,4,14,330,499,,1,2,248
4,4,15,16774,499,,1,2,248
4,4,16,794,499,,1,2,248
4,4,17,4482,499,,1,2,248
4,4,18,2636,499,,1,2,248
4,4,19,498,499,,1,2,248
5,5,0,5324,500,,0,1,249
5,5,1,609,500,,0,1,249
5,5,2,794,500,,0,1,249
5,5,3,330,500,,0,1,249
5,5,4,359,321,15561,179,2,70
5,5,5,1639,321,24851,122,3,99
5,5,6,90160,321,498,179,2,70
5,5,7,12,321,330,179,2,70
5,5,8,15561,321,16774,179,2,70
5,5,9,23304,321,794,179,2,70
5,5,10,33392,321,4482,179,2,70
5,5,11,398,321,359,95,5,112
5,5,12,36663,321,1639,95,5,112
5,5,13,3914,321,90160,95,5,112
5,5,14,498,361,12,95,5,132
5,5,15,330,361,15561,95,5,132
5,5,16,16774,321,23304,95,7,112
5,5,17,794,321,33392,95,8,112
5,5,18,4482,321,398,95,7,112
5,5,19,1272,288,36663,95,8,96
6,6,0,5324,500,,0,1,249
6,6,1,609,500,,0,1,249
6,6,2,794,500,,0,1,249
6,6,3,330,500,,0,1,249
6,6,4,15561,500,,0,1,249
6,6,5,12,500,,0,1,249
6,6,6,60084,500,,0,1,249
6,6,7,24358,500,,0,1,249
6,6,8,23304,500,,0,1,249
6,6,9,56303,500,,0,1,249
6,6,10,12033,500,,0,1,249
6,6,11,498,500,,0,1,249
6,6,12,330,500,,0,1,249
6,6,13,16774,500,,0,1,249
6,6,14,794,500,,0,1,249
6,6,15,5324,500,,0,1,249
6,6,16,24649,498,13495,2,2,247
6,6,17,794,500,,0,1,249
6,6,18,330,498,5324,2,2,247
6,6,19,3971,498,24649,2,2,247
7,7,0,5324,500,,0,1,249
7,7,1,609,500,,0,1,249
7,7,2,794,500,,0,1,249
7,7,3,330,500,,0,1,249
7,7,4,36771,500,,0,1,249
7,7,5,27396,500,,0,1,249
7,7,6,23304,500,,0,1,249
7,7,7,85981,500,,0,1,249
7,7,8,498,500,,0,1,249
7,7,9,330,500,,0,1,249
7,7,10,16774,500,,0,1,249
7,7,11,794,500,,0,1,249
7,7,12,5324,500,,0,1,249
7,7,13,1178,500,,0,1,249
7,7,14,794,500,,0,1,249
7,7,15,330,500,,0,1,249
7,7,16,372,500,,0,1,249
7,7,17,10830,500,,0,1,249
7,7,18,32075,391,9388,109,2,140
7,7,19,100257,364,14316,99,3,132
8,8,0,5324,500,,0,1,249
8,8,1,609,500,,0,1,249
8,8,2,794,500,,0,1,249
8,8,3,330,500,,0,1,249
8,8,4,76,338,15561,162,2,87
8,8,5,4777,338,81839,162,2,87
8,8,6,48974,338,27396,162,2,87
8,8,7,66589,338,23304,162,2,87
8,8,8,70464,338,56303,162,2,87
8,8,9,498,338,12033,162,2,87
8,8,10,330,338,498,162,2,87
8,8,11,16774,338,330,162,2,87
8,8,12,794,338,16774,162,2,87
8,8,13,5324,337,794,162,3,87
8,8,14,9103,337,5324,162,3,87
8,8,15,794,337,24649,162,3,87
8,8,16,330,337,794,162,3,87
8,8,17,70090,337,330,139,3,98
8,8,18,3855,251,1272,138,6,56
8,8,19,679,251,13,162,5,44
9,9,0,5324,500,,0,1,249
9,9,1,609,500,,0,1,249
9,9,2,794,500,,0,1,249
9,9,3,330,500,,0,1,249
9,9,4,15561,500,,0,1,249
9,9,5,1474,500,,0,1,249
9,9,6,4777,500,,0,1,249
9,9,7,27396,500,,0,1,249
9,9,8,23304,500,,0,1,249
9,9,9,11327,500,,0,1,249
9,9,10,70464,497,30043,3,2,246
9,9,11,498,500,,0,1,249
9,9,12,330,500,,0,1,249
9,9,13,16774,500,,0,1,249
9,9,14,794,500,,0,1,249
9,9,15,5324,483,4482,17,2,232
9,9,16,9103,480,78218,17,3,231
9,9,17,794,480,2117,17,3,231
9,9,18,330,480,93546,17,3,231
9,9,19,78218,480,100257,17,3,231
10,10,0,5324,500,,0,1,249
10,10,1,609,500,,0,1,249
10,10,2,794,500,,0,1,249
10,10,3,330,500,,0,1,249
10,10,4,359,500,,0,1,249
10,10,5,1639,500,,0,1,249
10,10,6,90160,500,,0,1,249
10,10,7,12,500,,0,1,249
10,10,8,15561,500,,0,1,249
10,10,9,23304,500,,0,1,249
