prompt_index,original_row_index,target_class,target_rank_by_votes,target_class_votes,representative_shard_index,position,clean_token_id,clean_votes,target_token_id,target_votes,active_position,dpa_target_radius
0,0,dictionary-server-get_definitions,1,88,4,0,5324,500,5324,500,0,0
0,0,dictionary-server-get_definitions,1,88,4,1,609,500,609,500,0,0
0,0,dictionary-server-get_definitions,1,88,4,2,794,500,794,500,0,0
0,0,dictionary-server-get_definitions,1,88,4,3,330,500,330,500,0,0
0,0,dictionary-server-get_definitions,1,88,4,4,36771,417,36771,417,0,0
0,0,dictionary-server-get_definitions,1,88,4,5,498,329,27396,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,6,330,329,23304,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,7,16774,329,85981,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,8,794,329,498,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,9,5324,329,330,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,10,1178,329,16774,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,11,794,417,794,417,0,0
0,0,dictionary-server-get_definitions,1,88,4,12,330,329,5324,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,13,10589,329,1178,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,14,48074,329,794,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,15,1506,329,330,88,1,120
0,0,dictionary-server-get_definitions,1,88,4,16,498,289,10589,88,1,100
0,0,dictionary-server-get_definitions,1,88,4,17,330,372,48074,88,1,141
0,0,dictionary-server-get_definitions,1,88,4,18,11789,289,1506,88,1,100
0,0,dictionary-server-get_definitions,1,88,4,19,794,289,9388,48,1,120
0,0,language-detection-server-detect,2,83,7,0,5324,500,5324,500,0,0
0,0,language-detection-server-detect,2,83,7,1,609,500,609,500,0,0
0,0,language-detection-server-detect,2,83,7,2,794,500,794,500,0,0
0,0,language-detection-server-detect,2,83,7,3,330,500,330,500,0,0
0,0,language-detection-server-detect,2,83,7,4,36771,417,11789,83,1,166
0,0,language-detection-server-detect,2,83,7,5,498,329,1773,83,1,122
0,0,language-detection-server-detect,2,83,7,6,330,329,23076,83,1,122
0,0,language-detection-server-detect,2,83,7,7,16774,329,27396,83,1,122
0,0,language-detection-server-detect,2,83,7,8,794,329,1773,83,1,122
0,0,language-detection-server-detect,2,83,7,9,5324,329,13478,83,1,122
0,0,language-detection-server-detect,2,83,7,10,1178,329,498,83,1,122
0,0,language-detection-server-detect,2,83,7,11,794,417,330,83,1,166
0,0,language-detection-server-detect,2,83,7,12,330,329,16774,83,1,122
0,0,language-detection-server-detect,2,83,7,13,10589,329,794,83,1,122
0,0,language-detection-server-detect,2,83,7,14,48074,329,5324,83,1,122
0,0,language-detection-server-detect,2,83,7,15,1506,329,1342,83,1,122
0,0,language-detection-server-detect,2,83,7,16,498,289,794,83,1,102
0,0,language-detection-server-detect,2,83,7,17,330,372,330,372,0,0
0,0,language-detection-server-detect,2,83,7,18,11789,289,10589,83,1,102
0,0,language-detection-server-detect,2,83,7,19,794,289,48074,83,1,102
1,1,comparator,1,53,3,0,5324,500,5324,500,0,0
1,1,comparator,1,53,3,1,609,500,609,500,0,0
1,1,comparator,1,53,3,2,794,500,794,500,0,0
1,1,comparator,1,53,3,3,330,500,330,500,0,0
1,1,comparator,1,53,3,4,2235,447,884,53,1,196
1,1,comparator,1,53,3,5,300,447,12636,53,1,196
1,1,comparator,1,53,3,6,12,447,498,53,1,196
