prompt_index,original_row_index,position,clean_token_id,clean_votes,runner_up_token_id,runner_up_votes,num_unique_tokens,dpa_stability_radius
0,0,0,53198,448,5324,30,5,208
0,0,1,609,482,,18,2,231
0,0,2,794,481,,18,3,231
0,0,3,330,481,,18,3,231
0,0,4,36771,382,11789,100,3,140
0,0,5,27396,380,1773,100,5,139
0,0,6,23304,380,23076,100,5,139
0,0,7,85981,380,27396,100,5,139
0,0,8,498,379,1773,100,6,139
0,0,9,330,380,13478,100,5,139
0,0,10,16774,380,498,100,5,139
0,0,11,794,379,330,100,6,139
0,0,12,53198,316,16774,100,7,107
0,0,13,1178,344,794,100,6,121
0,0,14,794,344,53198,69,8,137
0,0,15,330,344,1342,60,8,141
0,0,16,10589,344,794,70,7,136
0,0,17,48074,344,330,70,7,136
0,0,18,1506,344,10589,70,7,136
0,0,19,9388,219,498,126,8,46
1,1,0,13922,473,53198,23,4,224
1,1,1,609,498,,2,2,247
1,1,2,1232,473,794,25,3,223
1,1,3,364,473,330,25,3,223
1,1,4,884,248,38824,168,13,39
1,1,5,2472,165,45252,165,29,0
1,1,6,518,176,646,145,39,15
1,1,7,364,177,788,145,43,15
1,1,8,16774,180,20013,124,36,27
1,1,9,1232,176,43534,125,40,25
1,1,10,53198,169,1284,71,39,48
1,1,11,16774,142,869,75,39,33
1,1,12,794,111,295,75,36,17
1,1,13,454,75,53198,67,40,3
1,1,14,646,73,794,64,44,4
1,1,15,330,59,794,58,51,0
1,1,16,287,58,50,57,56,0
1,1,17,788,60,518,57,59,1
1,1,18,8437,59,364,58,58,0
1,1,19,16774,61,579,60,57,0
2,2,0,53198,470,100257,18,5,225
2,2,1,609,482,,18,2,231
2,2,2,794,479,,18,3,230
2,2,3,330,479,,18,3,230
2,2,4,15561,482,,18,2,231
2,2,5,12,482,,18,2,231
2,2,6,60084,482,,18,2,231
2,2,7,27396,482,,18,2,231
2,2,8,23304,482,,18,2,231
2,2,9,56303,482,,18,2,231
2,2,10,12033,482,,18,2,231
2,2,11,498,475,,18,5,228
2,2,12,330,475,,19,5,227
2,2,13,16774,478,,20,3,228
2,2,14,794,475,,22,3,226
2,2,15,53198,449,,22,6,213
2,2,16,24649,472,,22,4,224
2,2,17,794,449,,22,6,213
2,2,18,220,355,330,117,5,118
2,2,19,2983,472,,22,4,224
3,3,0,53198,321,100257,100,5,110
3,3,1,609,400,,100,2,149
3,3,2,794,376,,100,3,137
3,3,3,330,376,,100,3,137
3,3,4,383,280,36771,114,7,82
3,3,5,35556,280,27396,114,8,82
3,3,6,498,280,23304,114,7,82
3,3,7,330,280,85981,114,7,82
3,3,8,16774,280,,101,8,89
3,3,9,794,280,,101,6,89
3,3,10,330,173,16774,115,6,28
3,3,11,13922,161,5098,102,10,29
3,3,12,18881,112,794,102,17,4
3,3,13,1232,154,1178,101,14,26
3,3,14,364,152,383,106,15,22
3,3,15,32,111,35556,106,14,2
3,3,16,67709,110,,103,18,3
3,3,17,374,110,,103,19,3
3,3,18,264,110,,103,22,3
3,3,19,,138,6037,110,22,13
4,4,0,53198,424,13922,63,4,180
4,4,1,609,499,13922,1,2,248
4,4,2,794,436,1232,63,3,186
4,4,3,330,436,364,63,3,186
4,4,4,1030,496,66,2,4,246
4,4,5,10979,496,8772,2,4,246
4,4,6,20486,496,4791,2,4,246
4,4,7,1220,496,1474,2,4,246
4,4,8,15204,496,484,2,4,246
4,4,9,8894,496,3748,2,4,246
4,4,10,12,496,388,2,4,246
4,4,11,14500,496,15204,2,4,246
4,4,12,28039,495,8894,2,5,246
4,4,13,498,435,518,63,4,185
4,4,14,330,435,364,63,4,185
4,4,15,16774,498,364,1,3,248
4,4,16,794,435,1232,63,4,185
4,4,17,53198,407,4482,24,9,191
4,4,18,970,438,2636,31,13,203
4,4,19,794,416,498,35,9,190
5,5,0,53198,330,13922,107,4,111
5,5,1,609,445,,55,2,194
5,5,2,794,338,1232,107,3,115
5,5,3,330,338,364,107,3,115
5,5,4,359,443,,55,3,193
5,5,5,1639,443,,55,4,193
5,5,6,90160,443,,55,4,193
5,5,7,12,443,,55,4,193
5,5,8,15561,443,,55,4,193
5,5,9,23304,439,,55,6,191
5,5,10,33392,416,,55,6,180
5,5,11,398,416,,55,9,180
5,5,12,36663,416,,55,9,180
5,5,13,3914,416,,55,8,180
5,5,14,498,316,518,93,11,111
5,5,15,330,316,364,93,9,111
5,5,16,16774,409,,62,6,173
5,5,17,794,317,1232,93,8,111
5,5,18,53198,399,,62,12,168
5,5,19,2588,407,,62,9,172
6,6,0,53198,472,5324,16,5,227
6,6,1,609,499,,1,2,248
6,6,2,794,494,1232,5,3,244
6,6,3,330,494,364,5,3,244
6,6,4,15561,499,,1,2,248
6,6,5,12,499,,1,2,248
6,6,6,60084,499,,1,2,248
6,6,7,24358,499,,1,2,248
6,6,8,23304,499,,1,2,248
6,6,9,56303,499,,1,2,248
6,6,10,12033,499,,1,2,248
6,6,11,498,494,518,5,3,244
6,6,12,330,494,364,5,3,244
6,6,13,16774,499,,1,2,248
6,6,14,794,494,1232,5,3,244
6,6,15,53198,455,79786,25,7,214
6,6,16,24649,491,13922,7,4,241
6,6,17,794,455,498,25,6,214
6,6,18,220,461,330,30,4,215
6,6,19,3971,491,220,7,3,241
7,7,0,53198,416,100257,78,4,168
7,7,1,609,422,,78,2,171
7,7,2,794,422,,78,2,171
7,7,3,330,422,,78,2,171
7,7,4,36771,415,,78,4,168
7,7,5,27396,415,,78,4,168
7,7,6,23304,415,,78,4,168
7,7,7,85981,415,,78,4,168
7,7,8,498,414,,78,5,167
7,7,9,330,414,,79,4,167
7,7,10,16774,414,,79,4,167
7,7,11,794,414,,79,4,167
7,7,12,53198,212,330,202,5,4
7,7,13,1178,212,13922,202,5,4
7,7,14,794,212,1178,202,5,4
7,7,15,330,212,1232,202,5,4
7,7,16,372,212,364,202,5,4
7,7,17,10830,212,372,202,5,4
7,7,18,9388,210,10830,202,6,3
7,7,19,8439,412,,79,5,166
8,8,0,53198,479,100257,11,4,233
8,8,1,609,489,,11,2,238
8,8,2,794,486,,11,3,237
8,8,3,330,486,,11,3,237
8,8,4,15561,384,76,105,3,139
8,8,5,81839,384,4777,105,3,139
8,8,6,27396,384,48974,105,3,139
8,8,7,23304,436,66589,32,5,201
8,8,8,56303,421,70464,47,6,186
8,8,9,12033,421,498,31,11,194
8,8,10,498,432,330,31,7,200
8,8,11,330,432,16774,33,6,199
8,8,12,16774,432,794,31,7,200
8,8,13,794,432,53198,29,9,201
8,8,14,53198,413,9103,29,11,191
8,8,15,24649,416,794,29,8,193
8,8,16,794,421,330,29,20,195
8,8,17,220,407,70090,20,15,193
8,8,18,2137,259,1987,60,29,99
8,8,19,13,413,498,21,26,195
9,9,0,53198,414,13922,65,4,174
9,9,1,609,498,,2,2,247
9,9,2,794,433,1232,65,3,183
9,9,3,330,433,364,65,3,183
9,9,4,15561,498,,2,2,247
9,9,5,1474,498,,2,2,247
9,9,6,4777,498,,2,2,247
9,9,7,27396,498,,2,2,247
9,9,8,23304,498,,2,2,247
9,9,9,11327,497,,2,3,247
9,9,10,70464,464,30043,33,4,215
9,9,11,498,423,518,65,6,178
9,9,12,330,423,364,65,6,178
9,9,13,16774,489,498,7,4,240
9,9,14,794,423,1232,65,5,178
9,9,15,53198,444,330,19,9,212
9,9,16,9103,425,44371,34,9,195
9,9,17,794,417,1292,34,10,191
9,9,18,330,417,794,34,12,191
9,9,19,78218,416,330,38,13,188
10,10,0,53198,483,13922,15,3,233
10,10,1,609,498,,2,2,247
10,10,2,794,483,1232,15,3,233
10,10,3,330,483,364,15,3,233
10,10,4,359,498,,2,2,247
10,10,5,1639,498,,2,2,247
10,10,6,90160,498,,2,2,247
10,10,7,12,498,,2,2,247
10,10,8,15561,498,,2,2,247
10,10,9,23304,498,,2,2,247
10,10,10,70464,277,33392,211,5,32
10,10,11,36663,270,398,211,7,29
10,10,12,3914,270,36663,211,6,29
10,10,13,498,265,3914,211,5,26
10,10,14,330,265,498,207,7,28
10,10,15,16774,277,330,207,5,34
10,10,16,794,265,16774,210,5,27
10,10,17,53198,273,794,207,8,32
10,10,18,2588,274,53198,208,8,32
10,10,19,794,273,2588,211,6,30
11,11,0,53198,385,100257,43,5,170
11,11,1,609,457,,43,2,206
11,11,2,794,427,,43,3,191
11,11,3,330,427,,43,3,191
11,11,4,76,402,,43,7,179
11,11,5,4777,402,,43,15,179
11,11,6,27396,410,,43,16,183
11,11,7,23304,405,,43,14,180
11,11,8,85981,401,,43,11,178
11,11,9,498,377,,43,11,166
11,11,10,330,381,,45,12,167
11,11,11,16774,400,,45,11,177
11,11,12,794,383,,46,10,168
11,11,13,53198,341,,47,14,146
11,11,14,1178,351,,47,12,151
11,11,15,794,341,,47,14,146
11,11,16,330,345,,53,11,145
11,11,17,82,350,,53,15,148
11,11,18,98681,350,,54,18,147
11,11,19,9388,214,498,131,24,41
12,12,0,53198,411,5324,54,4,178
12,12,1,609,489,,11,2,238
12,12,2,794,464,1232,25,3,219
12,12,3,330,464,364,25,3,219
12,12,4,27963,487,,11,3,237
12,12,5,41324,487,,11,4,237
12,12,6,27396,474,,11,8,231
12,12,7,7716,207,23304,110,19,48
12,12,8,771,207,5978,142,25,32
12,12,9,498,216,2509,142,21,36
12,12,10,330,217,82,132,23,42
12,12,11,16774,222,498,165,19,28
12,12,12,794,220,330,166,17,26
12,12,13,16774,169,330,116,17,26
12,12,14,794,172,61665,105,19,33
12,12,15,53198,135,61665,113,27,10
12,12,16,330,104,1232,101,37,1
12,12,17,364,91,794,88,45,1
12,12,18,374,75,794,58,62,8
12,12,19,264,58,374,44,73,6
13,13,0,53198,271,100257,122,5,74
13,13,1,609,378,,122,2,127
13,13,2,794,354,,122,3,115
13,13,3,330,354,,122,3,115
13,13,4,27963,353,,122,6,115
13,13,5,41324,359,,122,5,118
13,13,6,27396,355,,122,13,116
13,13,7,7716,355,,122,10,116
13,13,8,771,355,,122,9,116
13,13,9,498,325,,122,10,101
13,13,10,330,325,,125,8,99
13,13,11,16774,348,,125,7,111
13,13,12,794,325,,125,9,99
13,13,13,53198,310,,125,10,92
13,13,14,61665,333,,125,10,103
13,13,15,794,309,,125,14,91
13,13,16,330,309,,129,14,89
13,13,17,,129,13922,105,22,11
13,13,18,,129,16195,86,42,21
13,13,19,,182,12625,113,42,34
14,14,0,53198,490,5018,5,4,242
14,14,1,609,498,,2,2,247
14,14,2,794,498,,2,2,247
14,14,3,330,498,,2,2,247
14,14,4,36771,475,9326,23,3,225
14,14,5,27396,475,525,23,3,225
14,14,6,23304,475,498,23,3,225
14,14,7,85981,475,330,23,3,225
14,14,8,498,475,16774,23,3,225
14,14,9,330,475,794,23,3,225
14,14,10,16774,475,330,13,4,230
14,14,11,794,475,13922,13,4,230
14,14,12,53198,400,330,61,10,169
14,14,13,1178,412,13922,57,7,177
14,14,14,794,402,1178,63,8,169
14,14,15,330,404,1232,57,11,173
14,14,16,9326,409,364,57,11,175
14,14,17,525,409,9326,64,9,172
14,14,18,9388,349,525,64,12,142
14,14,19,8439,397,330,60,14,168
15,15,0,53198,466,13922,23,4,221
15,15,1,609,490,,10,2,239
15,15,2,794,467,1232,23,3,221
15,15,3,330,467,364,23,3,221
15,15,4,359,489,,10,3,239
15,15,5,1639,489,,10,3,239
15,15,6,90160,489,,10,3,239
15,15,7,12,489,,10,3,239
15,15,8,15561,489,,10,3,239
15,15,9,23304,489,,10,3,239
15,15,10,70464,376,11327,60,6,157
15,15,11,1284,342,70464,60,7,140
15,15,12,811,342,498,73,8,134
15,15,13,498,358,330,73,7,142
15,15,14,330,358,16774,76,7,140
15,15,15,16774,376,794,73,7,151
15,15,16,794,359,53198,68,9,145
15,15,17,53198,326,2588,70,12,127
15,15,18,2588,343,794,68,12,137
15,15,19,794,329,330,69,11,129
16,16,0,53198,442,100257,34,4,203
16,16,1,609,466,,34,2,215
16,16,2,794,461,,34,3,213
16,16,3,330,461,,34,3,213
16,16,4,5143,308,10590,126,6,90
16,16,5,16269,201,27396,126,12,37
16,16,6,498,287,1474,74,15,106
16,16,7,330,287,22063,74,13,106
16,16,8,16774,287,498,80,9,103
16,16,9,794,287,330,80,7,103
16,16,10,53198,237,16774,83,12,76
16,16,11,3699,237,794,80,20,78
16,16,12,9217,169,53198,80,27,44
16,16,13,794,219,1232,57,24,80
16,16,14,220,273,794,82,22,95
16,16,15,717,159,22,122,21,18
16,16,16,11,236,22,68,18,83
16,16,17,330,180,11,87,26,46
16,16,18,13832,89,330,80,31,4
16,16,19,794,96,3659,59,34,18
17,17,0,53198,499,13922,1,2,248
17,17,1,609,500,,0,1,249
17,17,2,794,499,1232,1,2,248
17,17,3,330,499,364,1,2,248
17,17,4,1889,500,,0,1,249
17,17,5,84156,500,,0,1,249
17,17,6,1474,500,,0,1,249
17,17,7,4777,500,,0,1,249
17,17,8,27396,500,,0,1,249
17,17,9,23831,500,,0,1,249
17,17,10,26327,500,,0,1,249
17,17,11,498,499,518,1,2,248
17,17,12,330,499,364,1,2,248
17,17,13,16774,500,,0,1,249
17,17,14,794,499,1232,1,2,248
17,17,15,53198,479,5324,11,5,233
17,17,16,1889,472,11789,21,3,225
17,17,17,794,469,769,21,4,223
17,17,18,330,468,794,21,5,223
